TWP_PCT,Jeanne Ives,Sean Casten,Bill Redpath
Cuba 64,391,235,12
Cuba 65,488,340,11
Cuba 66,371,424,12
Cuba 67,319,306,10
Cuba 68,379,376,8
Cuba 69,475,449,13
Cuba 70,375,223,4
Cuba 71,401,342,14
Cuba 72,385,299,13
Cuba 73,406,467,6
Cuba 74,522,372,8
Cuba 75,347,272,19
Cuba 76,395,518,13
Cuba 77,564,470,6
Ela 78,421,316,10
Ela 79,570,630,15
Ela 80,415,414,12
Ela 81,473,502,8
Ela 82,470,446,23
Ela 83,483,477,14
Ela 84,407,430,12
Ela 85,327,378,7
Ela 86,430,412,17
Ela 87,468,562,20
Ela 88,461,254,9
Ela 89,462,363,11
Ela 90,360,441,14
Ela 91,356,360,13
Ela 92,401,441,19
Ela 93,325,435,10
Ela 94,368,474,12
Ela 95,433,466,9
Ela 96,436,423,15
Ela 97,320,440,6
Ela 98,328,418,5
Ela 99,622,532,19
Ela 100,563,531,11
Ela 101,563,489,12
Ela 102,605,479,18
Ela 103,463,425,20
Ela 104,468,472,9
Ela 105,620,560,12
